[10:12:20] 📍 Loaded 563 district venues
[10:12:20] 🚀 DISTRICT SCRAPER STARTED
[10:12:33] ✅ Fetched 59 venues with shows
[10:12:33] ✅ DONE | Shows=241 | Movies=6
[16:45:46] 📍 Loaded 563 district venues
[16:45:46] 🚀 DISTRICT SCRAPER STARTED
[16:45:58] ✅ Fetched 68 venues with shows
[16:45:58] ✅ DONE | Shows=282 | Movies=6
[04:43:51] 📍 Loaded 563 district venues
[04:43:51] 🚀 DISTRICT SCRAPER STARTED
[04:43:51] ⚠ 56144 status 429
[04:43:51] ⚠ 1028879 status 429
[04:43:51] ⚠ 1013355 status 429
[04:43:51] ⚠ 1004634 status 429
[04:43:51] ⚠ 24981 status 429
[04:43:51] ⚠ 1036114 status 429
[04:43:51] ⚠ 1011192 status 429
[04:43:51] ⚠ 1003803 status 429
[04:43:51] ⚠ 1053155 status 429
[04:43:51] ⚠ 62907 status 429
[04:43:51] ⚠ 4174 status 429
[04:43:51] ⚠ 7511 status 429
[04:43:51] ⚠ 1020755 status 429
[04:43:51] ✅ Fetched 0 venues with shows
[04:43:51] ✅ DONE | Shows=0 | Movies=0
[11:56:20] 📍 Loaded 563 district venues
[11:56:20] 🚀 DISTRICT SCRAPER STARTED
[11:56:34] ✅ Fetched 85 venues with shows
[11:56:34] ✅ DONE | Shows=374 | Movies=7
[19:07:50] 📍 Loaded 563 district venues
[19:07:50] 🚀 DISTRICT SCRAPER STARTED
[19:07:50] ⚠ 1094334 status 404
[19:07:50] ⚠ 1040891 status 404
[19:07:50] ⚠ 1024804 status 404
[19:07:50] ⚠ 1051040 status 404
[19:07:50] ⚠ 1008705 status 404
[19:07:50] ⚠ 1049243 status 404
[19:07:50] ⚠ 1037496 status 404
[19:07:50] ⚠ 1044503 status 404
[19:07:50] ⚠ 1039878 status 404
[19:07:50] ⚠ 7714 status 404
[19:07:50] ⚠ 1065383 status 404
[19:07:50] ⚠ 29998 status 404
[19:07:50] ⚠ 1076602 status 404
[19:07:50] ⚠ 1037228 status 404
[19:07:50] ⚠ 1030389 status 404
[19:07:50] ⚠ 11264 status 404
[19:07:50] ⚠ 1039847 status 404
[19:07:50] ⚠ 1078025 status 404
[19:07:50] ⚠ 1027478 status 404
[19:07:50] ⚠ 50915 status 404
[19:07:50] ⚠ 1041688 status 404
[19:07:50] ⚠ 1031638 status 404
[19:07:50] ⚠ 1009194 status 404
[19:07:50] ⚠ 1039846 status 404
[19:07:50] ⚠ 1031636 status 404
[19:07:50] ⚠ 1039860 status 404
[19:07:50] ⚠ 1074151 status 404
[19:07:50] ⚠ 1041672 status 404
[19:07:50] ⚠ 1093265 status 404
[19:07:50] ⚠ 1047659 status 404
[19:07:50] ⚠ 1039875 status 404
[19:07:50] ⚠ 28206 status 404
[19:07:50] ⚠ 1041687 status 404
